Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
1435000	1435	0.115682593886779	0.224740297705495	6.09505831916076e-05	13595844	1572802.5	868647.5	0.0505082014127545
1436000	1436	0.116111294179901	0.225388174974986	6.1229935663141e-05	13549855	1573291.2	871007.2	0.0507998294185547
1437000	1437	0.116658261391601	0.226023796354744	6.14764963823747e-05	13517305	1576905.3	874514.3	0.0510867565186107
1438000	1438	0.116716455775077	0.226073587049733	6.15731009237646e-05	13480860	1573438.2	872643	0.0511092667615333
1439000	1439	0.116434947128928	0.225576742720081	6.14372432970906e-05	13481096	1569670.7	868748.3	0.0508848668562017
1440000	1440	0.116822443817146	0.226184400367325	6.15502051308008e-05	13504120	1577584.3	875159.7	0.0511593829695262
1441000	1441	0.116686024487279	0.22606848110201	6.14983143500728e-05	13513057	1576784.9	874600	0.0511069581477698
1442000	1442	0.116053553153177	0.225280963591874	6.12410575994935e-05	13532051	1570442.6	869027.5	0.0507515125568834
1443000	1443	0.116033112788448	0.225337075111858	6.12743604902502e-05	13524080	1569241.1	868793.4	0.0507767974199673
1444000	1444	0.116165504485342	0.225632476981369	6.13724559828821e-05	13516250	1570122	870506.5	0.0509100146687481
1445000	1445	0.116409192499776	0.225948286774789	6.13677721489873e-05	13556182	1578064.2	875779.9	0.0510526282964625
1447000	1447	0.11637737377514	0.225891887736141	6.15253250279164e-05	13480110	1568779.8	870422	0.0510271449449975
1448000	1448	0.116235743815792	0.225577887649887	6.14236122216092e-05	13487217	1567696.7	868524.6	0.0508853833965848
1449000	1449	0.116362484248254	0.225827571155596	6.14713073674716e-05	13496123	1570442.4	871017.1	0.0509980918940358
1451000	1451	0.116630155048723	0.225997901290492	6.15477780483761e-05	13482923	1572515.4	872043.7	0.0510750513877068
1452000	1452	0.11638961609124	0.22572704019747	6.14394948612531e-05	13498077	1571036	870615.7	0.0509526966763104
1453000	1453	0.11631681890858	0.225603193947608	6.13770162428124e-05	13510734	1571525.6	870448	0.050896801119362
1454000	1454	0.116884348056825	0.226383371815811	6.15898141509748e-05	13510495	1579165.4	876984.9	0.0512494310346959
1455000	1455	0.117166902408401	0.226697395550057	6.16864255131012e-05	13505599	1582409.2	879481.8	0.0513917091491791
1456000	1456	0.116510890183594	0.226017003332983	6.14014751077455e-05	13549542	1578669.2	876092.7	0.0510836857956215
1457000	1457	0.116973392550577	0.22666235241155	6.164366620822e-05	13520161	1581499.1	879602.7	0.0513758220007377
1458000	1458	0.116868019995561	0.226573909913266	6.1620889333147e-05	13519601	1580009	878691.2	0.0513357366533846
1459000	1459	0.116921306226762	0.22681364183469	6.16216116261179e-05	13547908	1584039.1	882172.3	0.0514444281223149
1460000	1460	0.117410158789185	0.227495671799824	6.18194281013416e-05	13542421	1590017.8	887562.5	0.0517542806876532
1461000	1461	0.117474389919048	0.227492621042671	6.18395530960681e-05	13533245	1589809.7	887146.5	0.0517528926288644
1462000	1462	0.117233740166695	0.227349095388691	6.18934007194232e-05	13492666	1581795.7	882843.5	0.051687611174056
1463000	1463	0.116687582730779	0.226487470289036	6.16366465052111e-05	13502381	1575560.2	876474.2	0.0512965741979268
1464000	1464	0.117045370718471	0.226919655111605	6.17555082828471e-05	13501836	1580327.4	880213.7	0.0514925298759696
1465000	1465	0.116796057902482	0.226607282565533	6.16658363543578e-05	13503877	1577199.6	877646.4	0.0513508605117351
1466000	1466	0.116391987196351	0.225860159638584	6.14417211243656e-05	13513023	1572807.6	872399.5	0.0510128117119668
1467000	1467	0.115878665044564	0.225417611104054	6.13299747932725e-05	13509215	1565429.8	867845	0.0508130993958584
1468000	1468	0.115797333204781	0.225275563547042	6.12555551283259e-05	13524998	1566158.7	867738.2	0.0507490795314375
1469000	1469	0.115695003069509	0.225009004039835	6.12015842374511e-05	13516818	1563828.3	865270.8	0.0506290518989983
