Chromosome	Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
4H	859000	859	0.168540308136498	0.275670617166043	0.000184581800496212	2230505	375930	232865	0.0759942891687067
4H	860000	860	0.169186905241066	0.276152135194679	0.00018508656698855	2226112	376629	233484	0.0762600017725804
4H	861000	861	0.169286389551947	0.276361173608377	0.000185204917024045	2226635	376939	233871	0.0763754982781994
4H	862000	862	0.168645923233344	0.275754647196268	0.000184590857719572	2231646	376358	233167	0.076040625450338
4H	863000	863	0.168612873193173	0.275591767509131	0.000184334979223781	2235203	376884	233313	0.0759508223188069
4H	864000	864	0.168213314198813	0.27528395254829	0.000183891769818936	2240976	376962	233234	0.0757812545306094
4H	865000	865	0.16786389531973	0.274983915882614	0.000183604476211925	2243097	376535	232821	0.0756161539941365
4H	866000	866	0.168471071262262	0.275227450402363	0.000183902408774016	2239797	377341	233236	0.0757501494549849
4H	867000	867	0.168404330944993	0.275483873408335	0.0001839717185955	2242282	377610	233761	0.0758913645080598
4H	868000	868	0.168629291654186	0.275777272267492	0.000184120773551066	2243424	378307	234413	0.0760531038992986
4H	869000	869	0.16735107430207	0.274343202207471	0.000182643634128482	2256209	377579	233000	0.0752641925974493
4H	870000	870	0.165996039687722	0.273746454658866	0.000181711196254541	2269518	376731	232607	0.0749371214382987
4H	871000	871	0.167409836707174	0.274895743166332	0.000183325925674572	2248476	376417	232928	0.0755676696109701
4H	872000	872	0.16756165785993	0.275103875633871	0.0001830648761243	2258309	378406	234320	0.0756821423887765
4H	873000	873	0.167835681402693	0.275289261944061	0.000183891829069155	2241061	376130	232965	0.0757841777417059
4H	874000	874	0.166036720408311	0.273663310407062	0.000182060200372939	2259452	375152	231503	0.0748916074629517
4H	875000	875	0.166302483118158	0.274113040898901	0.000182788095671394	2248866	373992	231171	0.0751379591908428
4H	876000	876	0.166804053942599	0.274375571895223	0.000183200168470977	2243051	374150	231271	0.0752819544528308
4H	877000	877	0.166921159559458	0.274519385868101	0.000183377678499275	2241058	374080	231330	0.0753608932173991
4H	878000	878	0.16769305328422	0.275115957328307	0.000184379371976725	2226419	373355	231124	0.0756887899766711
4H	880000	880	0.166189822769665	0.273527340525381	0.000182897777148878	2236581	371697	229107	0.0748172060148878
4H	881000	881	0.166070768864705	0.274147295423848	0.000183342610505657	2235842	371308	229702	0.0751567395882107
4H	882000	882	0.166938506035372	0.274500028633058	0.000183773619049312	2231097	372456	230291	0.0753502657195494
4H	883000	883	0.166555973099668	0.274320421131997	0.000183765549487257	2228374	371149	229506	0.0752516934500363
4H	884000	884	0.166891800318269	0.274333897600312	0.00018377738134276	2228306	371886	229765	0.0752590873725783
4H	885000	885	0.167154244902039	0.274398583766285	0.000184115263090694	2221182	371280	229304	0.075294582772943
4H	886000	886	0.167502786942369	0.274650968668739	0.000184400912838463	2218381	371585	229581	0.0754331545906766
