trait,gene_file,gene_name,MGmin,epsilon,stage,status,message
fiber,HORVU.MOREX.r3.7HG0642480.vcf.gz,HORVU.MOREX.r3.7HG0642480,2,,crosshap,crosshap_failed,"CrossHap failed: Assigned data `base::sapply(...)` must be compatible with existing data.
✖ Existing data has 1 row.
✖ Assigned data has 9 rows.
ℹ Row updates require a list value. Do you need `list()` or `as.list()`?
Caused by error in `vectbl_recycle_rhs_rows()`:
! Can't recycle input of size 9 to size 1."
fiber,HORVU.MOREX.r3.7HG0642480.vcf.gz,HORVU.MOREX.r3.7HG0642480,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642480.vcf.gz,HORVU.MOREX.r3.7HG0642480,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642480.vcf.gz,HORVU.MOREX.r3.7HG0642480,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642480.vcf.gz,HORVU.MOREX.r3.7HG0642480,3,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0642480.vcf.gz,HORVU.MOREX.r3.7HG0642480,3,0.6,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729010.vcf.gz,HORVU.MOREX.r3.7HG0729010,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729010.vcf.gz,HORVU.MOREX.r3.7HG0729010,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729010.vcf.gz,HORVU.MOREX.r3.7HG0729010,2,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729010.vcf.gz,HORVU.MOREX.r3.7HG0729010,3,,crosshap,crosshap_failed,CrossHap failed: object 'Varfile' not found
fiber,HORVU.MOREX.r3.7HG0729020.vcf.gz,HORVU.MOREX.r3.7HG0729020,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729020.vcf.gz,HORVU.MOREX.r3.7HG0729020,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729030.vcf.gz,HORVU.MOREX.r3.7HG0729030,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729030.vcf.gz,HORVU.MOREX.r3.7HG0729030,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729030.vcf.gz,HORVU.MOREX.r3.7HG0729030,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729050.vcf.gz,HORVU.MOREX.r3.7HG0729050,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729090.vcf.gz,HORVU.MOREX.r3.7HG0729090,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729090.vcf.gz,HORVU.MOREX.r3.7HG0729090,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729090.vcf.gz,HORVU.MOREX.r3.7HG0729090,2,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729090.vcf.gz,HORVU.MOREX.r3.7HG0729090,2,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
fiber,HORVU.MOREX.r3.7HG0729090.vcf.gz,HORVU.MOREX.r3.7HG0729090,2,0.6,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
