[2026-03-22 09:47:39] [INFO] [stage=run] Run started.
[2026-03-22 09:47:39] [INFO] [stage=run] Run ID: All_Genes_All_Traits_V2
[2026-03-22 09:47:39] [INFO] [stage=run] Event log path: /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Haplotype_Analysis_All_Genes/Runs/All_Genes_All_Traits_V2/Logs/event_log_All_Genes_All_Traits_V2_20260322_094739.csv
[2026-03-22 09:47:39] [INFO] [stage=run] Traits: betaglucan, fiber, starch
[2026-03-22 09:47:39] [INFO] [stage=run] MGmin values: 2, 3
[2026-03-22 09:47:39] [INFO] [stage=run] Epsilon vector: 0.05, 0.2, 0.4, 0.5, 0.6, 0.8, 0.85
[2026-03-22 09:47:39] [INFO] [stage=discovery] Auto-generated targets file: targets.yaml
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225360.vcf.gz] Discovered target 53/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225370.vcf.gz] Discovered target 54/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225380.vcf.gz] Discovered target 55/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225390.vcf.gz] Discovered target 56/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225400.vcf.gz] Discovered target 57/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225410.vcf.gz] Discovered target 58/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225420.vcf.gz] Discovered target 59/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225430.vcf.gz] Discovered target 60/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225440.vcf.gz] Discovered target 61/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225450.vcf.gz] Discovered target 62/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225490.vcf.gz] Discovered target 63/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225500.vcf.gz] Discovered target 64/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0225510.vcf.gz] Discovered target 65/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0233920.vcf.gz] Discovered target 66/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0233930.vcf.gz] Discovered target 67/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0287240.vcf.gz] Discovered target 68/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0287270.vcf.gz] Discovered target 69/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0287290.vcf.gz] Discovered target 70/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0299440.vcf.gz] Discovered target 71/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0299450.vcf.gz] Discovered target 72/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0299460.vcf.gz] Discovered target 73/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0322550.vcf.gz] Discovered target 74/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0322580.vcf.gz] Discovered target 75/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0322600.vcf.gz] Discovered target 76/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0322610.vcf.gz] Discovered target 77/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0322650.vcf.gz] Discovered target 78/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0322660.vcf.gz] Discovered target 79/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0322680.vcf.gz] Discovered target 80/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.3HG0322690.vcf.gz] Discovered target 81/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.4HG0341540.vcf.gz] Discovered target 82/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.4HG0341560.vcf.gz] Discovered target 83/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.5HG0423910.vcf.gz] Discovered target 84/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.5HG0423980.vcf.gz] Discovered target 85/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.5HG0423990.vcf.gz] Discovered target 86/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.5HG0424010.vcf.gz] Discovered target 87/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0609520.vcf.gz] Discovered target 88/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627000.vcf.gz] Discovered target 89/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627010.vcf.gz] Discovered target 90/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627020.vcf.gz] Discovered target 91/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627040.vcf.gz] Discovered target 92/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627060.vcf.gz] Discovered target 93/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627070.vcf.gz] Discovered target 94/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627080.vcf.gz] Discovered target 95/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627090.vcf.gz] Discovered target 96/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627100.vcf.gz] Discovered target 97/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627110.vcf.gz] Discovered target 98/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627120.vcf.gz] Discovered target 99/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.6HG0627200.vcf.gz] Discovered target 100/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0675560.vcf.gz] Discovered target 101/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0675570.vcf.gz] Discovered target 102/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0675580.vcf.gz] Discovered target 103/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0675630.vcf.gz] Discovered target 104/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0728470.vcf.gz] Discovered target 105/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0728480.vcf.gz] Discovered target 106/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0728500.vcf.gz] Discovered target 107/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0738080.vcf.gz] Discovered target 108/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0738110.vcf.gz] Discovered target 109/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0738120.vcf.gz] Discovered target 110/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0738140.vcf.gz] Discovered target 111/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0738150.vcf.gz] Discovered target 112/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0738190.vcf.gz] Discovered target 113/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.7HG0738210.vcf.gz] Discovered target 114/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.1HG0051650.vcf.gz] Discovered target 115/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.1HG0051660.vcf.gz] Discovered target 116/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.1HG0051670.vcf.gz] Discovered target 117/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.3HG0301080.vcf.gz] Discovered target 118/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.4HG0339140.vcf.gz] Discovered target 119/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0642320.vcf.gz] Discovered target 120/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0642350.vcf.gz] Discovered target 121/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0642360.vcf.gz] Discovered target 122/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0642370.vcf.gz] Discovered target 123/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0642420.vcf.gz] Discovered target 124/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0642460.vcf.gz] Discovered target 125/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0642480.vcf.gz] Discovered target 126/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729010.vcf.gz] Discovered target 127/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729020.vcf.gz] Discovered target 128/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729030.vcf.gz] Discovered target 129/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=fiber] [gene=HORVU.MOREX.r3.7HG0729050.vcf.gz] Discovered target 130/158
