Bin	Sum_R2	SumSq_R2	N_Pairs
1784000	210175	100411	2151125
1785000	211327	100982	2159896
1786000	210055	100261	2161173
1787000	210956	100683	2174182
1788000	211883	101322	2178439
1789000	211354	100820	2175781
1790000	210256	100613	2155590
1791000	210390	100694	2159964
1792000	209266	99768.8	2150443
1793000	209827	100016	2146709
1794000	210074	100544	2146378
1795000	210979	101313	2133789
1796000	210913	101343	2127227
1797000	208436	100038	2114547
1798000	209203	100472	2119033
1799000	211378	102007	2131352
1800000	212008	102119	2140735
1801000	211367	101776	2136540
1802000	210399	100928	2139325
1803000	210653	101500	2135918
1804000	209931	100813	2147147
1805000	211177	101353	2156878
1806000	210673	100957	2156840
1808000	212551	101966	2169388
1809000	212829	102514	2173655
1810000	212142	101782	2166305
1811000	212578	101779	2179898
1812000	214091	102813	2190712
1813000	213263	102160	2192747
1814000	213786	102225	2191957
1816000	212165	101888	2168140
1817000	213251	102198	2173722
1818000	211826	101670	2163570
1819000	210872	100884	2162906
1820000	211492	101191	2166031
1821000	212504	101756	2171399
1822000	211827	101439	2152396
1823000	211827	101695	2156823
1824000	210164	100473	2152303
1825000	210434	100299	2156161
1826000	211449	101214	2149726
1827000	210495	100285	2157705
1828000	211386	100531	2165874
1829000	212109	101410	2159074
1830000	212118	101668	2147943
1831000	212686	102297	2148556
1832000	212789	102192	2151139
1833000	212216	101703	2154939
1834000	212759	102195	2152407
1835000	212469	101985	2157533
1836000	213095	102303	2154815
1837000	212476	101950	2151585
1838000	210901	101266	2144299
1839000	210796	101658	2135132
1840000	210621	101352	2142789
1841000	211037	101580	2148570
1842000	211730	101834	2147372
1843000	212904	102338	2159010
1844000	212213	101867	2172212
1845000	211412	101467	2162276
1846000	211099	101325	2161356
1847000	210487	100978	2149642
1849000	210919	101137	2160601
1850000	211718	101468	2166458
1851000	210876	100926	2163580
1852000	212062	101698	2174480
1853000	211491	101066	2180861
1854000	211479	101325	2175552
1855000	212499	101881	2181747
1856000	212059	101584	2182785
1857000	211204	101324	2168253
1858000	210397	100984	2160279
1859000	210638	101170	2146436
1860000	211445	101747	2156503
1861000	211162	101586	2154240
1862000	210911	101618	2153792
1863000	211488	101518	2170903
1865000	211590	101417	2166978
1866000	211305	101259	2170794
1867000	212466	101728	2186406
1868000	211971	101339	2173413
1869000	212008	101457	2171945
1870000	210757	100665	2173752
1871000	211102	101149	2167922
1872000	210862	100862	2167443
1873000	211100	100786	2178726
1874000	211403	101066	2182696
1876000	210614	101009	2163883
1877000	210406	100913	2160763
1878000	211417	101673	2172104
1879000	211257	101860	2173021
1880000	210723	101478	2160922
1882000	212142	101867	2167413
1883000	212762	102385	2166977
1884000	212920	102445	2174677
1885000	211903	101781	2156379
1886000	214315	103598	2169033
1887000	212989	102497	2174119
1888000	211903	101786	2178070
1889000	210471	101217	2158933
1890000	211382	101308	2158181
1891000	210809	101240	2148923
1892000	210250	100730	2162259
1893000	210779	101132	2154554
1894000	211004	101079	2158181
1895000	210937	101165	2155335
1896000	210843	101143	2159690
1898000	210014	100634	2148711
1899000	209340	100665	2142669
1900000	208845	100056	2140607
1901000	208439	100057	2125969
1902000	208036	99353.9	2137830
1903000	210316	100961	2153569
1904000	210214	100901	2155223
1905000	209604	100390	2148713
1907000	209384	100664	2152098
1908000	207814	99654.6	2139770
1909000	207959	99620.2	2146006
1910000	208363	99958.1	2145526
1911000	209159	100481	2137662
1912000	209923	100877	2140051
1913000	210761	101246	2151419
1914000	211184	101487	2160264
1915000	210812	101533	2150613
1917000	209378	100714	2143087
1918000	209261	99839.7	2161004
1919000	209004	99838	2162499
1920000	209799	100312	2163688
1921000	210247	100434	2176347
1923000	209707	100037	2167097
1924000	210264	100334	2177578
1925000	211092	100783	2185388
1926000	211208	101015	2178456
1927000	210806	100480	2185895
1928000	210838	100669	2177919
1929000	209339	99820.2	2166101
1930000	208697	99791.8	2146326
1931000	211233	101085	2169181
1932000	210420	100681	2169707
1933000	210517	100680	2166458
1934000	210247	100077	2177041
1935000	209552	99857.7	2170708
1936000	209997	99943.9	2163746
1937000	209915	100313	2151362
1938000	210894	100725	2152428
1939000	210341	100505	2157245
1940000	209270	99678.2	2154088
1941000	210188	100048	2158542
1942000	210953	100306	2165025
1943000	209578	99762.4	2159028
