Bin	Sum_R2	SumSq_R2	N_Pairs
549000	128122	59747	1431302
550000	127324	59550.7	1422033
551000	127761	59302	1432203
552000	125644	57832.9	1419947
553000	125652	57949.6	1421315
554000	125545	57770.3	1419464
555000	126266	58251.7	1423797
556000	126876	58838.1	1420374
557000	126168	58347.6	1421638
558000	127190	58589.9	1431480
559000	126692	58702	1417554
560000	127848	59331	1427071
561000	127374	58811	1420334
562000	126882	58558.7	1419732
563000	126880	59062.4	1411662
564000	126680	58852.1	1409884
565000	125192	58149.1	1398997
566000	126317	58464	1417787
567000	125006	57574.1	1403281
568000	125953	58240.8	1408298
569000	125177	57628.7	1410601
570000	126060	58337.7	1419863
571000	124956	57666.3	1414820
572000	124561	57876.8	1399275
574000	124848	57841.4	1418082
575000	124776	57979.8	1405923
576000	124214	57499.2	1402551
577000	123811	57185.3	1403100
578000	122969	56519.2	1398852
579000	123267	56744.2	1398832
580000	123381	56658.8	1406974
581000	124110	56929.6	1417440
582000	124335	57284.3	1414806
583000	122875	56271.4	1411772
584000	123625	57278	1410917
585000	123058	57117.1	1400980
586000	122099	56474.9	1391187
587000	121588	55620.7	1396036
588000	121726	56196.4	1383484
589000	121799	56268.8	1379266
590000	121585	56077.9	1378290
591000	121896	56292.3	1388464
592000	122418	56643.4	1387869
593000	121321	56114.8	1386384
594000	120737	55545.1	1392429
595000	122264	56857.8	1393267
596000	120947	56151	1379889
597000	119993	55463.9	1381625
598000	120285	55560.5	1380460
599000	120575	55577.6	1390632
600000	120304	55259.6	1393222
601000	121159	55559.1	1410023
602000	121540	55676.7	1415421
603000	122095	56175.3	1415556
604000	121271	56027.6	1401326
605000	121454	55999.6	1410492
606000	121066	55304.4	1421965
607000	121047	55704.5	1407188
608000	121592	55827.1	1424837
609000	120790	55142.4	1418031
610000	120382	55414.5	1403615
611000	120262	55395.1	1387396
612000	120872	55896.9	1391437
613000	120027	55376.3	1386676
614000	119484	55291	1376303
615000	120343	55564.4	1387598
616000	119027	54484	1385467
617000	118670	54452.8	1384461
618000	119181	54900.7	1373833
619000	119287	54919.3	1373046
620000	118763	54615.2	1370897
621000	119953	55171.3	1384659
622000	120740	55881.7	1383752
623000	119384	55130	1373239
624000	119732	55386.1	1373695
625000	120547	55976.4	1378398
